show_id,person_id,job_id
0,14934,0
0,20546,0
0,1032,0
0,19823,0
0,19186,0
0,476,0
0,22405,0
0,19214,0
0,9875,1
1,18043,0
1,25932,0
1,17521,0
1,20952,0
1,1869,1
2,18086,0
2,5182,0
2,14611,0
2,27002,0
2,6376,0
2,25294,0
2,15400,0
2,23269,0
2,14827,0
2,16124,0
2,22264,0
2,26801,1
3,16412,0
3,11635,0
3,18683,0
3,7578,0
3,2096,0
3,17395,0
3,27945,0
3,8704,0
3,3007,0
3,19224,0
3,7805,0
3,5259,1
4,21617,0
4,635,0
4,25559,0
4,19424,0
4,23549,1
5,299,0
5,14605,0
5,5193,0
5,6591,0
5,22877,0
5,23741,0
5,17104,0
5,17928,0
5,5634,0
5,26970,0
5,13406,0
5,6858,1
6,14532,0
6,13285,0
6,11102,0
6,5949,0
6,13820,0
6,15219,0
6,22564,0
6,19201,0
6,2194,0
6,11313,0
6,24379,1
7,15792,0
7,9110,0
7,1411,0
7,10102,0
7,16249,0
7,7905,0
7,13553,0
7,13288,0
7,22603,0
7,1924,0
7,22952,1
8,3614,0
8,23219,0
8,21752,0
8,26706,0
8,27822,0
8,12451,0
8,21378,0
8,28671,0
8,28937,0
8,9259,1
9,23352,0
9,22982,0
9,22603,0
9,16140,0
9,19174,0
9,4410,0
9,11987,0
9,26123,0
9,13062,0
9,26617,0
9,25821,1
10,23352,0
10,16140,0
10,19174,0
10,13251,0
10,11987,0
10,5647,0
10,2068,0
10,17314,0
10,3137,0
10,26136,0
10,11923,1
11,6871,0
11,3415,0
11,25201,0
11,16173,0
11,12878,0
11,15510,0
11,20557,0
11,6011,0
11,16028,0
11,15975,0
11,12554,1
12,16140,0
12,15305,0
12,17239,0
12,14002,0
12,18242,0
12,13480,0
12,18827,0
12,16466,0
12,13259,1
13,6885,0
13,23508,0
13,27883,0
13,3890,0
13,23818,0
13,23379,0
13,20160,0
13,22966,0
13,15789,0
13,12639,0
13,6102,1
14,6885,0
14,8294,0
14,24349,0
14,27122,0
14,10099,0
14,22310,0
14,5561,0
14,7375,0
14,25321,0
14,16526,0
14,8347,0
14,2288,1
15,13956,0
15,24263,0
15,18567,0
15,14948,0
15,10501,0
15,15110,0
15,20180,0
15,14463,0
15,27390,0
15,11069,0
15,27387,1
16,13956,0
16,24263,0
16,14948,0
16,10501,0
16,15110,0
16,14444,0
16,692,0
16,14753,0
16,27387,1
17,13956,0
17,24263,0
17,14948,0
17,10501,0
17,15110,0
17,20180,0
17,14444,0
17,5084,0
17,16815,0
17,20116,0
17,27387,1
18,13956,0
18,24263,0
18,14948,0
18,10501,0
18,15110,0
18,14463,0
18,20180,0
18,10438,0
18,14444,0
18,27264,0
18,27387,1
19,13700,0
19,5016,0
19,22762,0
19,14288,0
19,17602,0
19,18565,0
19,28958,0
19,14461,0
19,14974,0
19,17603,0
19,17598,1
20,13700,0
20,5016,0
20,20178,0
20,27676,0
20,19089,0
20,14288,0
20,22762,0
20,25021,0
20,19350,0
20,24262,0
20,24958,0
20,9883,1
21,13700,0
21,5016,0
21,14288,0
21,24262,0
21,25021,0
21,14516,0
21,23525,0
21,14938,0
21,19350,0
21,24958,0
21,28852,0
21,14943,0
21,28964,0
21,17598,1
22,13700,0
22,5016,0
22,28852,0
22,14943,0
22,2983,0
22,14339,0
22,5934,0
22,8924,0
22,10391,0
22,26735,0
22,14899,0
22,18850,0
22,14254,0
22,17603,0
22,14334,0
22,17610,0
22,14288,0
22,25021,0
22,23184,0
22,5937,0
22,24497,0
22,9883,1
23,13700,0
23,5016,0
23,24262,0
23,22762,0
23,20113,0
23,14466,0
23,14334,0
23,24085,0
23,28983,0
23,28977,0
23,8917,0
23,19188,0
23,17944,0
23,27390,0
23,17598,1
24,13700,0
24,9039,0
24,5016,0
24,25021,0
24,696,0
24,28789,0
24,27682,0
24,23604,0
24,10501,0
24,26357,0
24,10432,1
25,13700,0
25,5016,0
25,28852,0
25,14288,0
25,692,0
25,15199,0
25,17202,0
25,27658,0
25,17612,0
25,10440,0
25,27392,1
26,13700,0
26,20178,0
26,5016,0
26,14288,0
26,28952,0
26,27524,0
26,10430,0
26,13661,0
26,10064,0
26,10761,0
26,26660,1
27,25370,0
27,350,0
27,22446,0
27,27058,0
27,27288,0
27,20999,0
27,12346,0
27,24780,0
27,14417,1
28,17526,0
28,13662,0
28,28626,0
28,26321,0
28,18846,0
28,18542,0
28,18678,0
28,4659,1
29,8931,0
29,2966,0
29,5054,0
29,28806,0
29,3697,0
29,6984,0
29,1073,0
29,29225,0
29,27016,0
29,8598,0
29,11113,1
29,8931,1
30,8000,0
30,6215,0
30,2927,0
30,7679,0
30,18708,0
30,12146,0
30,2561,0
30,6122,0
30,1186,1
31,28454,0
31,16299,0
31,19486,0
31,25606,0
31,13175,0
31,8976,0
31,24746,0
31,20413,0
31,753,0
31,1863,0
31,6789,0
31,14543,0
31,21974,1
32,23244,0
32,9114,0
32,1255,0
32,15659,0
32,3706,0
32,3616,0
32,7519,0
32,2601,0
32,25754,0
32,12966,0
32,25699,1
33,2344,0
33,22493,0
33,3638,0
33,28135,0
33,14727,0
33,25549,0
33,24193,0
33,27046,0
33,1633,0
33,3656,0
33,25248,0
33,15823,1
34,16854,0
34,6627,0
34,7300,0
34,6944,0
34,10963,0
34,2480,0
34,6627,1
35,16567,0
35,24650,0
35,27027,0
35,12973,0
35,13884,0
35,10409,0
35,25907,0
35,3234,0
35,14863,0
35,21936,1
36,103,0
36,3322,0
36,21001,0
36,14537,0
36,7574,0
36,26837,0
36,5526,0
36,9309,0
36,2306,0
36,23946,0
36,11575,1
37,15069,0
37,10377,0
37,28160,0
37,9750,0
37,26111,0
37,28024,0
37,22030,0
37,20036,0
37,19306,1
38,711,0
38,20670,0
38,21903,0
38,34,0
38,24681,0
38,2679,0
38,24721,1
39,17993,0
39,17358,0
39,12063,0
39,19807,0
39,24786,0
39,14564,0
39,28697,0
39,10240,0
39,11575,1
40,22,0
40,23621,0
40,29066,0
40,21704,0
40,3487,0
40,2746,0
40,8507,0
40,23649,0
40,27995,1
41,10397,0
41,4714,0
41,12047,0
41,6013,0
41,22413,0
41,13589,0
41,15885,0
41,16551,0
41,1688,0
41,17549,0
41,20994,0
41,28433,0
41,14609,0
41,8160,0
41,25197,0
41,17357,1
42,22976,0
42,12072,0
42,19053,0
42,13294,0
42,5975,0
42,4365,0
42,3223,0
42,16450,0
42,22860,0
42,20555,0
42,15371,1
43,10102,0
43,23446,0
43,24438,0
43,7630,0
43,16482,0
43,6336,0
43,28548,0
43,4049,0
43,12622,0
43,12503,0
43,11424,0
43,19062,0
43,22744,1
44,24769,0
44,10556,0
44,25152,0
44,6941,0
44,20040,0
44,28838,0
44,13216,0
44,3844,0
44,12963,0
44,17840,0
44,19690,1
45,10102,0
45,28497,0
45,2148,0
45,12518,0
45,10322,0
45,10099,0
45,7275,0
45,18582,0
45,3338,0
45,6675,0
45,26882,0
45,11399,0
45,22309,0
45,21399,1
46,26266,0
46,12834,0
46,18409,0
46,11628,0
46,22504,0
46,4536,0
46,15655,0
46,5774,0
46,22083,0
46,17892,0
46,21034,0
46,22476,1
47,13473,0
47,19900,0
47,22489,0
47,7664,0
47,3890,0
47,21382,0
47,19464,0
47,9444,0
47,7279,0
47,22302,0
47,2262,1
48,20951,0
48,15909,0
48,12124,0
48,13053,0
48,608,0
48,833,0
48,9325,0
48,25778,0
48,24546,0
48,20994,0
48,17277,0
48,27033,0
48,9632,0
48,18657,0
48,25219,1
49,4769,0
49,1385,0
49,22633,0
49,10341,0
49,5905,0
49,5842,0
49,9169,0
49,13214,0
49,14357,0
49,24373,0
49,15371,1
50,6237,0
50,20517,0
50,23371,0
50,22608,0
50,9356,0
50,25546,0
50,3570,0
50,12919,0
50,20906,0
50,8844,0
50,23937,0
50,23302,0
50,17466,0
50,18582,0
50,25546,1
51,12526,0
51,16348,0
51,9745,0
51,19235,0
51,9319,0
51,27988,0
51,1699,0
51,24463,1
52,4129,0
52,14371,0
52,9407,0
52,5900,0
52,13338,0
52,25749,0
52,6010,0
52,10237,0
52,25796,1
53,10399,0
53,20826,0
53,24349,0
53,10795,0
53,2413,0
53,17219,0
53,15041,0
53,11209,0
53,24567,0
53,11696,0
53,6690,0
53,27817,0
53,22644,1
54,23508,0
54,3684,0
54,21289,0
54,17368,0
54,26981,0
54,11825,0
54,26342,0
54,1915,0
54,17444,1
55,5369,0
55,5353,0
55,23029,0
55,27038,0
55,11,0
55,17466,0
55,20902,0
55,3793,0
55,3019,0
55,7582,0
55,14388,0
55,5565,0
55,27886,0
55,22422,1
56,5369,0
56,5353,0
56,17466,0
56,3793,0
56,20902,0
56,3019,0
56,27038,0
56,13907,0
56,10786,0
56,21757,0
56,9249,1
56,7352,1
57,5369,0
57,5353,0
57,27038,0
57,6442,0
57,1922,0
57,14557,0
57,3405,0
57,18258,0
57,5207,0
57,14705,0
57,8137,1
58,17644,0
58,2251,0
58,9708,0
58,8850,0
58,22638,0
58,12579,0
58,28528,0
